Scenario,Algorithm,VictimsSaved,AvgRescueTime,PathOptimalityRatio,RiskExposureScore,NodesExpanded,CSP_Backtracks
A,bfs_alpha_0.0,5,6.664,1.0,3.3,44,0
A,bfs_alpha_1.0,5,6.664,1.014,3.3,44,0
A,bfs_alpha_inf,5,6.664,0.014,3.3,44,0
A,dfs_alpha_0.0,5,6.664,1.0,3.3,93,0
A,dfs_alpha_1.0,5,6.664,1.014,3.3,93,0
A,dfs_alpha_inf,5,6.664,0.014,3.3,93,0
A,greedy_alpha_0.0,5,6.664,1.0,3.3,9,0
A,greedy_alpha_1.0,5,6.664,1.014,3.3,9,0
A,greedy_alpha_inf,5,6.664,0.014,3.3,9,0
A,astar_alpha_0.0,5,6.664,1.0,3.3,9,0
A,astar_alpha_1.0,5,6.664,1.014,3.3,16,0
A,astar_alpha_inf,5,6.664,0.014,3.3,9,0
B,bfs_alpha_0.0,5,6.462,1.0,3.2,44,0
B,bfs_alpha_1.0,5,6.462,1.014,3.2,44,0
B,bfs_alpha_inf,5,6.462,0.014,3.2,44,0
B,dfs_alpha_0.0,5,6.462,1.0,3.2,93,0
B,dfs_alpha_1.0,5,6.462,1.014,3.2,93,0
B,dfs_alpha_inf,5,6.462,0.014,3.2,93,0
B,greedy_alpha_0.0,5,6.462,1.0,3.2,9,0
B,greedy_alpha_1.0,5,6.462,1.014,3.2,9,0
B,greedy_alpha_inf,5,6.462,0.014,3.2,9,0
B,astar_alpha_0.0,5,6.462,1.0,3.2,9,0
B,astar_alpha_1.0,5,6.462,1.014,3.2,16,0
B,astar_alpha_inf,5,6.462,0.014,3.2,9,0
C,bfs_alpha_0.0,6,5.725,1.0,3.4,44,0
C,bfs_alpha_1.0,6,5.725,1.014,3.4,44,0
C,bfs_alpha_inf,6,5.725,0.014,3.4,44,0
C,dfs_alpha_0.0,6,5.725,1.0,3.4,93,0
C,dfs_alpha_1.0,6,5.725,1.014,3.4,93,0
C,dfs_alpha_inf,6,5.725,0.014,3.4,93,0
C,greedy_alpha_0.0,6,5.725,1.0,3.4,9,0
C,greedy_alpha_1.0,6,5.725,1.014,3.4,9,0
C,greedy_alpha_inf,6,5.725,0.014,3.4,9,0
C,astar_alpha_0.0,6,5.725,1.0,3.4,9,0
C,astar_alpha_1.0,6,5.725,1.014,3.4,16,0
C,astar_alpha_inf,6,5.725,0.014,3.4,9,0
B,bfs_alpha_0.0,5,6.0,1.0,0.0,44,18
B,bfs_alpha_1.0,5,6.0,1.0,0.0,44,18
B,bfs_alpha_inf,5,6.0,1.0,0.0,44,18
B,dfs_alpha_0.0,5,6.0,1.0,0.0,93,18
B,dfs_alpha_1.0,5,6.0,1.0,0.0,93,18
B,dfs_alpha_inf,5,6.0,1.0,0.0,93,18
B,greedy_alpha_0.0,5,6.0,1.0,0.0,9,18
B,greedy_alpha_1.0,5,6.0,1.0,0.0,9,18
B,greedy_alpha_inf,5,6.0,1.0,0.0,9,18
B,astar_alpha_0.0,5,6.0,1.0,0.0,16,18
B,astar_alpha_1.0,5,6.0,1.0,0.0,16,18
B,astar_alpha_inf,5,6.0,1.0,0.0,16,18
B,bfs_alpha_0.0,5,6.0,1.0,0.0,44,18
B,bfs_alpha_1.0,5,6.0,1.0,0.0,44,18
B,bfs_alpha_inf,5,6.0,1.0,0.0,44,18
B,dfs_alpha_0.0,5,6.0,1.0,0.0,93,18
B,dfs_alpha_1.0,5,6.0,1.0,0.0,93,18
B,dfs_alpha_inf,5,6.0,1.0,0.0,93,18
B,greedy_alpha_0.0,5,6.0,1.0,0.0,9,18
B,greedy_alpha_1.0,5,6.0,1.0,0.0,9,18
B,greedy_alpha_inf,5,6.0,1.0,0.0,9,18
B,astar_alpha_0.0,5,6.0,1.0,0.0,16,18
B,astar_alpha_1.0,5,6.0,1.0,0.0,16,18
B,astar_alpha_inf,5,6.0,1.0,0.0,16,18
B,bfs_alpha_0.0,5,6.0,1.0,0.0,44,18
B,bfs_alpha_1.0,5,6.0,1.0,0.0,44,18
B,bfs_alpha_inf,5,6.0,1.0,0.0,44,18
B,dfs_alpha_0.0,5,6.0,1.0,0.0,93,18
B,dfs_alpha_1.0,5,6.0,1.0,0.0,93,18
B,dfs_alpha_inf,5,6.0,1.0,0.0,93,18
B,greedy_alpha_0.0,5,6.0,1.0,0.0,9,18
B,greedy_alpha_1.0,5,6.0,1.0,0.0,9,18
B,greedy_alpha_inf,5,6.0,1.0,0.0,9,18
B,astar_alpha_0.0,5,6.0,1.0,0.0,16,18
B,astar_alpha_1.0,5,6.0,1.0,0.0,16,18
B,astar_alpha_inf,5,6.0,1.0,0.0,16,18
C,bfs_alpha_0.0,6,5.333,1.0,0.0,44,18
C,bfs_alpha_1.0,6,5.333,1.0,0.0,44,18
C,bfs_alpha_inf,6,5.333,1.0,0.0,44,18
C,dfs_alpha_0.0,6,5.333,1.0,0.0,93,18
C,dfs_alpha_1.0,6,5.333,1.0,0.0,93,18
C,dfs_alpha_inf,6,5.333,1.0,0.0,93,18
C,greedy_alpha_0.0,6,5.333,1.0,0.0,9,18
C,greedy_alpha_1.0,6,5.333,1.0,0.0,9,18
C,greedy_alpha_inf,6,5.333,1.0,0.0,9,18
C,astar_alpha_0.0,6,5.333,1.0,0.0,16,18
C,astar_alpha_1.0,6,5.333,1.0,0.0,16,18
C,astar_alpha_inf,6,5.333,1.0,0.0,16,18
B,bfs_alpha_0.0,5,7.0,1.0,0.0,44,0
B,bfs_alpha_1.0,5,7.0,1.0,0.0,44,0
B,bfs_alpha_inf,5,7.0,1.0,0.0,44,0
B,dfs_alpha_0.0,5,7.0,1.0,0.0,79,0
B,dfs_alpha_1.0,5,7.0,1.0,0.0,79,0
B,dfs_alpha_inf,5,7.0,1.0,0.0,79,0
B,greedy_alpha_0.0,5,7.0,1.0,0.0,9,0
B,greedy_alpha_1.0,5,7.0,1.0,0.0,9,0
B,greedy_alpha_inf,5,7.0,1.0,0.0,9,0
B,astar_alpha_0.0,5,7.0,1.0,0.0,16,0
B,astar_alpha_1.0,5,7.0,1.0,0.0,16,0
B,astar_alpha_inf,5,7.0,1.0,0.0,16,0
B,bfs_alpha_0.0,5,7.0,1.0,0.0,44,0
B,bfs_alpha_1.0,5,7.0,1.0,0.0,44,0
B,bfs_alpha_inf,5,7.0,1.0,0.0,44,0
B,dfs_alpha_0.0,5,7.0,1.0,0.0,79,0
B,dfs_alpha_1.0,5,7.0,1.0,0.0,79,0
B,dfs_alpha_inf,5,7.0,1.0,0.0,79,0
B,greedy_alpha_0.0,5,7.0,1.0,0.0,9,0
B,greedy_alpha_1.0,5,7.0,1.0,0.0,9,0
B,greedy_alpha_inf,5,7.0,1.0,0.0,9,0
B,astar_alpha_0.0,5,7.0,1.0,0.0,16,0
B,astar_alpha_1.0,5,7.0,1.0,0.0,16,0
B,astar_alpha_inf,5,7.0,1.0,0.0,16,0
B,bfs_alpha_0.0,5,7.0,1.0,0.0,44,0
B,bfs_alpha_1.0,5,7.0,1.0,0.0,44,0
B,bfs_alpha_inf,5,7.0,1.0,0.0,44,0
B,dfs_alpha_0.0,5,7.0,1.0,0.0,79,0
B,dfs_alpha_1.0,5,7.0,1.0,0.0,79,0
B,dfs_alpha_inf,5,7.0,1.0,0.0,79,0
B,greedy_alpha_0.0,5,7.0,1.0,0.0,9,0
B,greedy_alpha_1.0,5,7.0,1.0,0.0,9,0
B,greedy_alpha_inf,5,7.0,1.0,0.0,9,0
B,astar_alpha_0.0,5,7.0,1.0,0.0,16,0
B,astar_alpha_1.0,5,7.0,1.0,0.0,16,0
B,astar_alpha_inf,5,7.0,1.0,0.0,16,0
